Entry Id,TÉMA,JMÉNO TEMATICKÉHO CELKU,JMÉNO ZPRACOVATELE,JMÉNO TÉMATICKÉHO CELKU / AKTIVITY,CÍL 1,CÍL 2,CÍL 3,ANOTACE,STUPEŇ,STUPEŇ,STUPEŇ,STUPEŇ,ROČNÍK / TŘÍDA,ROČNÍK / TŘÍDA,ROČNÍK / TŘÍDA,ROČNÍK / TŘÍDA,ROČNÍK / TŘÍDA,ROČNÍK / TŘÍDA,ROČNÍK / TŘÍDA,ROČNÍK / TŘÍDA,ROČNÍK / TŘÍDA,ROČNÍK / TŘÍDA,ROČNÍK / TŘÍDA,VYUČOVACÍ PŘEDMĚT,VYUČOVACÍ PŘEDMĚT,VYUČOVACÍ PŘEDMĚT,VYUČOVACÍ PŘEDMĚT,VYUČOVACÍ PŘEDMĚT,VYUČOVACÍ PŘEDMĚT,VYUČOVACÍ PŘEDMĚT,VYUČOVACÍ PŘEDMĚT,VYUČOVACÍ PŘEDMĚT,VYUČOVACÍ PŘEDMĚT,VYUČOVACÍ PŘEDMĚT,VYUČOVACÍ PŘEDMĚT,VYUČOVACÍ PŘEDMĚT,TÉMA (Ekoškoly),TÉMA (Ekoškoly),TÉMA (Ekoškoly),TÉMA (Ekoškoly),TÉMA (Ekoškoly),TÉMA (Ekoškoly),TÉMA (Ekoškoly),TÉMA (Ekoškoly),TÉMA (Ekoškoly),TÉMA (Ekoškoly),KROKY EKOŠKOLY,KROKY EKOŠKOLY,KROKY EKOŠKOLY,KROKY EKOŠKOLY,KROKY EKOŠKOLY,KROKY EKOŠKOLY,KROKY EKOŠKOLY,ČASOVÁ NÁROČNOST,PROSTŘEDÍ,PROSTŘEDÍ,POČET UČITELŮ NA REALIZACI,FYZICKÁ AKTIVITA,Připojit soubor,Připojit soubor,Poznámka pro nás:,Date Created,Created By,Last Updated,Updated By,IP Address,Last Page Accessed,Completion Status,url
1,Voda,Ze života vody,Jana Jeřábková,Vodní kolečko,Žáci si pomocí obrázku přiblíží koloběh vody. Ujasní si zákonitosti spojené s koloběhem vody. ,,,"Žáci si vystřihnou a dle vlastního návrhu vybarví vodní kolečko. Pomocí něho si mohou ukázat zákonitosti koloběhu vody v přírodě. Jednotlivé fáze  popíšou, a tak pak dokážou vše vysvětlit. ",,První stupeň ZŠ,Druhý stupeň ZŠ,,,,,,4. třída ZŠ,5. třída ZŠ,6. třída ZŠ,,,,,,,biologie,přírodopis,,ekologie,občanská výchova,,,,,,,,,Voda,,,,,,,,,,,,EVVO ve výuce,,,30 min,Uvnitř,,1,1,ze_zivota_vody__vodn_koleko.pdf, ,,2019-03-26 22:55:39,public,2020-01-02 20:37:21,petra2018,85.71.235.53,1,1,https://petra2018.wufoo.com/cabinet/89eae141-6a17-46df-85c5-2a55a2881c94
3,Prostředí školy,Zlepšujeme třídu,Pavla Hoppová,Třída jako botanická zahrada,"Přiblížit dětem svět rostlin,zodpovědnosti za ně a důležitosti v našem životě.",,,"Děti si projdou třídu a zjistí, jaký je počet květin a jakých. Pro identifikaci mohou použít knihy, internet.Výtvarnou činností na koberci, kde hlavní rolí je plátno, si děti vytvoří pomocí přírodnin - kamínků, klacíků, šišek atd. rostlinu, kterou by chtěly mít ve třídě. Za doprovodu motivačního příběhu viz. kniha ,,Dívej se, tvoř a povídej"" od V. Slavíkové děti dojdou k závěru, si ve třídě vytvořit botanickou zahradu. Za domácí úkol budou mít donést z domova květinu, kterou mají rádi. O tu se pak budou určitý čas starat a zaznamenávat formou piktogramů změny. Vyrobí si cedulku květiny s názvem - papír, keramika, samotvrdnoucí hmota apod.Po cca 1 měsíci péče si stanoví datum Otevření botanické zahrady pro rodiče, kde své květiny mohou ostatním blíže představit. Mohou vytvořit pozvánky a malé občerstvení.",MŠ,,,,MŠ,,,,,,,,,,,,,,,,,,,,,,,,,,,Prostředí školy,,,,,,,,,,,EVVO ve výuce,Informování a spolupráce,,90 min,Uvnitř,Venku,1,2, , ,,2019-04-04 21:06:53,public,2020-01-02 20:43:57,petra2018,194.228.20.19,1,1,https://petra2018.wufoo.com/cabinet/ejF1ZXc4bDkxaXA5OGdv/mC1L4xR7RwuBes%3D/
4,Prostředí školy,Zlepšujeme třídu ,Ivona Smršková,Třída snů ,"Žák navrhne úpravy své třídy tak, aby se v ní cítil lépe, a své návrhy zdůvodní.",,,"Aktivita je zaměřena na představu jednotlivých žáků o tom, jak by mohla vypadat ideální třída, v níž by se cítili dobře. Své nápady sdílejí ve skupině, před třídou. ",,První stupeň ZŠ,,,,1. třída ZŠ,,,,,,,,,,,,,,,,,,prvouka,,,,,,,,Prostředí školy,,,,,,,,Analýza,,,,,,10 min,Uvnitř,,1,1,zlepsujeme_tridu__tda_sn.pdf, ,"Při prvním pokusu vyvstalo několik otázek, které zkonzultuji telefonicky. I. Smrčková",2019-04-24 16:11:49,public,2020-01-04 21:53:27,petra2018,185.93.60.34,1,1,https://petra2018.wufoo.com/cabinet/9a00c3da-ebc8-4dad-b87d-87c845a906e8
6,Prostředí školy,Zlepšujeme třídu ,Ivona Smrčková ,Zlepšujeme třídu ,"Žák navrhne úpravy své třídy tak,aby se v ní cítil lépe, a své návrhy zdůvodní.","Žák na základě dohody s ostatními zvolí návrh, který vyhovuje většině.",,"Žáci sepíšou vlastní návrhy na změny ve třídě včetně důvodů, proč je zavádět. Zdůvodní výběr výsledného návrhu.",,První stupeň ZŠ,,,,1. třída ZŠ,2. třída ZŠ,3. třída ZŠ,4. třída ZŠ,5. třída ZŠ,,,,,,čeština,,,,,,,,prvouka,,,,,,,,Prostředí školy,,,,,,,,Analýza,,,EVVO ve výuce,,,projekt,Uvnitř,,1,1,zlepsujeme_tridu_pdf.pdf, ,"Tematický celek má časovou dotaci v metodice 45 minut. Myslíme si, že je lepší téma zpracovat jako projekt, rozhodující je věk žáků. V navrhovaných předmětech postrádáme Výtvarnou výchovu a Pracovní činnosti, kde by pro výtvarné zpracování tématu byl větší prostor. ",2019-05-31 14:27:59,public,,,185.93.60.34,1,1,https://petra2018.wufoo.com/cabinet/62fb9f54-bd1f-42b7-98ee-2c59f6e9669e
7,Prostředí školy,Zlepšujeme třídu ,Ivona Smrčková ,Hlasování ,"Žák zvolí návrh, který mu vyhovuje.",Žáci vytvoří pořadí oblíbenosti navržených možností. ,"Žáci pomocí metody hlasování vyjadřují své mínění na dané téma, návrh. ","Žáci zdůvodní výběr daného návrhu, o kterém ve třídě hlasují. ",,První stupeň ZŠ,,,,1. třída ZŠ,2. třída ZŠ,3. třída ZŠ,4. třída ZŠ,5. třída ZŠ,,,,,,čeština,matematika,,,jazyky,,,,prvouka,vlastivěda,přírodověda,,,,,,Prostředí školy,,,,,,,,Analýza,,Monitoring,EVVO ve výuce,,,10 min,Uvnitř,,1,1,hlasovn__ivca_doc.pdf, ,"Metodu hlasování lze využít při jakékoliv činnosti, kdy děti potřebují o něčem rozhodnout.",2019-05-31 14:48:53,public,2020-01-05 20:24:30,petra2018,185.93.60.34,1,1,https://petra2018.wufoo.com/cabinet/be12abd7-ed0e-4aa9-ae88-3202786e4f1d
8,Prostředí školy,Třída jako botanická zahrada ,Ivona Smrčková ,Třída jako botanická zahrada ,Žák vyhledá a zpracuje informace o vybrané pokojové rostlině.Žák se na základě toho o ni dlouhodobě stará v souladu s jejími potřebami.,Žák ozelení třídu - vytvoří z ní botanickou zahradu. Žák informuje o potřebách rostlin ostatní žáky.,,"Výstava rostlin – žáci zhotoví popisek k rostlině včetně jejích nároků. Vedou si deník o péči, v němž na závěr zhodnotí, jak byla péče náročná a úspěšná.",,První stupeň ZŠ,,,,1. třída ZŠ,2. třída ZŠ,3. třída ZŠ,4. třída ZŠ,5. třída ZŠ,,,,,,čeština,matematika,,,,,,,prvouka,,přírodověda,,,,,,Prostředí školy,,,,,,,,,,,EVVO ve výuce,,,projekt,Uvnitř,,1,2,trida_jako_botanicka_zahrada_pdf.pdf, ,"Opět chybí v nabídce předmětů Výtvarná výchova a Pracovní činnosti (výroba cedulek k rostlinám, apod..). Zařazení do matematiky - vyhodnocení aktivit vhodné pro zpracování grafů a statistiky.  ",2019-05-31 15:03:12,public,,,185.93.60.34,1,1,https://petra2018.wufoo.com/cabinet/8c158a3c-2ba6-4e96-8565-acd26f17d976
9,Prostředí školy,Třída jako botanická zahrada ,Ivona Smrčková ,Rozmnožování rostlin - výuková hodina ,Žák uvede aspoň tři způsoby rozmnožování rostlin. ,"Žák si zvolí konkrétní rostlinu, kterou se pokusí rozmnožit či vypěstovat.",,"Žáci se seznámí se způsobem rozmnožování rostlin, vyberou jednu z navrhovaných metod.",,První stupeň ZŠ,,,,1. třída ZŠ,2. třída ZŠ,3. třída ZŠ,4. třída ZŠ,5. třída ZŠ,,,,,,,,,,,,,,prvouka,,přírodověda,,,,,,Prostředí školy,,,,,,,,,,,EVVO ve výuce,,,45 min,Uvnitř,,1,2,vukov_hodina_o_rozmnoovn_rostlin__pracovn_listy.pdf, ,"Strany 26 - 29 bylo nutné upravit (záhlaví), ve tvém souboru byl jiný typ písma uprostřed slov, některé řádky jsou vytisknuty přes sebe...aspoň tak se nám to tady zobrazilo. Opravily jsme - verze, kterou posíláme je opravená. ",2019-05-31 16:41:46,public,,,185.93.60.34,1,1,https://petra2018.wufoo.com/cabinet/c72ffb75-6fd8-43b7-9b16-41a77738aa7d
11,Prostředí školy,Zlepšujeme třídu,Ivona Smrčková,Zlepšujeme třídu ,"Žák navrhne úpravy své třídy tak, aby se v ní cítil lépe.","Žák na základě dohody s ostatními zvolí a realizuje návrh (příp. více návrhů), který vyhovuje většině.",Žák při volbě i realizaci návrhu vybírá prostředky šetrné k životnímu prostředí i vlastnímu zdraví.,Žáci ve skupině rozpracují podrobně jeden z návrhůna změnu třídy a zhodnocení dopadu na životní prostředí u jednotlivých kroků či variant.,,,Druhý stupeň ZŠ,,,,,,,,6. třída ZŠ,7. třída ZŠ,8. třída ZŠ,9. třída ZŠ,,,,,přírodopis,,,občanská výchova,,,,,,,,,,Prostředí školy,,,,,,,,,,,EVVO ve výuce,,,90 min,Uvnitř,,1,1,zlepsujeme_tridu_ii_pdf.pdf, ,,2019-05-31 16:59:49,public,2019-07-17 11:20:04,petra2018,185.93.60.34,1,1,https://petra2018.wufoo.com/cabinet/ee8c1af1-960d-4e76-86fe-436e103d236b
12,Prostředí školy,Problémy školy ,Ivona Smrčková ,Problémy školy ,Žák zhodnotí prostředí školy z různých hledisek a u vybraného problému navrhne jeho řešení.,"Žák provede průzkum problému a jeho možných řešení mezi spolužáky, zaměstnanci či návštěvníky školy, výsledky vyhodnotí a zpracuje.",,"Žáci zhodnotí prostředí školy z různých hledisek a u vybraného problému navrhnou jeho řešení; provedou průzkum o problému a/či jeho řešení mezi spolužáky, zaměstnanci či návštěvníky školy, výsledky vyhodnotí a zpracují.",,,Druhý stupeň ZŠ,,,,,,,,6. třída ZŠ,7. třída ZŠ,8. třída ZŠ,9. třída ZŠ,,,,,,,,občanská výchova,,,,,,,,,,Prostředí školy,,,,,,,Ekotým,Analýza,,,EVVO ve výuce,,,projekt,Uvnitř,Venku,1,2,problemy_skoly_pdf.pdf, ,,2019-05-31 17:07:04,public,,,185.93.60.34,1,1,https://petra2018.wufoo.com/cabinet/8884aca0-16bd-4bba-a886-358da8b0414e
13,Prostředí školy,Problémy školy ,Ivona Smrčková ,Rozdělení do skupin ,Žák se podle výroku dokáže zařadit do dané skupiny.,,,Žáci se rozdělí do skupin podle daných výroků. ,,,Druhý stupeň ZŠ,,,,,,,,6. třída ZŠ,7. třída ZŠ,8. třída ZŠ,9. třída ZŠ,,čeština,matematika,,přírodopis,jazyky,,občanská výchova,chemie,,,,fyzika,zeměpis,,,,Prostředí školy,,,,,,,Ekotým,,,,EVVO ve výuce,,,10 min,Uvnitř,Venku,1,1,rozdlen_do_skupin.pdf, ,Metodu lze využít v různých předmětech pro různá témata. ,2019-05-31 17:23:01,public,,,185.93.60.34,1,1,https://petra2018.wufoo.com/cabinet/2bbeeafc-ab8d-4f08-9e09-2a2951a738c1
14,Prostředí školy,Problémy školy ,Ivona Smrčková ,Tvorba dotazníků a průzkum ,Žák na základě průzkumu zjistí informace o zkoumaném problému. ,Žák využije výsledků dotazníku k návrhu řešení. ,,Žáci provedou formou dotazníkového šetření průzkum a výsledky dotazníků vyhodnotí a zpracují. ,,,Druhý stupeň ZŠ,,,,,,,,6. třída ZŠ,7. třída ZŠ,8. třída ZŠ,9. třída ZŠ,,,,,,,,občanská výchova,,,,,,,,,,Prostředí školy,,,,,,,Ekotým,Analýza,Plán činností,,EVVO ve výuce,,,projekt,Uvnitř,Venku,1,1,tvorba_dotaznk_a_przkum.pdf, ,,2019-05-31 17:36:59,public,,,185.93.60.34,1,1,https://petra2018.wufoo.com/cabinet/71581e81-899c-485b-b3c7-b39370d0d22f
15,Prostředí školy,Měníme školu ,Ivona Smrčková ,Měníme školu ,"Student zmapuje stav prostředí ve škole a identifikuje problém, který může ve skupině vyřešit.Student analyzuje, jakých skupin se problém a jeho případné řešení dotýká a kde by mohl vzniknout konflikt.","Student naplánuje a (příp. s pomocí vedení školy) realizuje činnosti, které povedou k řešení, zohlední přitom hlediska různých stran.",Student vyhodnotí míru úspěšnosti řešení pomocí vhodných indikátorů.Student při volbě řešení zohledňuje dopady na životní prostředí.  ,"Studenti ve skupinách zpracují analýzu vybraného problému a navrhnou jeho řešení, u nichž zhodnotí dopady na jednotlivé zájmové skupiny.Navrhnou plán realizace a realizované řešení pak podle předem stanovených indikátorů vyhodnotí.",,,,SŠ,,,,,,,,,,,SŠ,,,,,,ekologie,,,,,,,,,,,Prostředí školy,,,,,,,Ekotým,Analýza,Plán činností,,EVVO ve výuce,,,projekt,Uvnitř,Venku,1,2,menime_skolu_pdf.pdf, ,"Jediný předmět, který není na ZŠ, je ekologie, proto jsme zařadily do tohoto předmětu. ",2019-05-31 17:45:27,public,,,185.93.60.34,1,1,https://petra2018.wufoo.com/cabinet/64659fb8-c9b0-469e-a99e-6b9fa9a84a32
16,Odpady,Cesta výroby papíru,Monika Olšáková,Myšlenková mapa,"Žák zpracovává ústřední téma=PAPÍR/RECYKLOVANÝ PAPÍR, hledá nejdůležitější body, větví je a zároveň se drží  tématu.",Žák průběžně přehledně rozšiřuje a doplňuje téma PAPÍR A RECYKLOVANÝ PAPÍR.,,Žáci se zamyslí nad výrobou papíru běžným způsobem a formou recyklace.,,První stupeň ZŠ,Druhý stupeň ZŠ,,,,,,,5. třída ZŠ,6. třída ZŠ,7. třída ZŠ,,,,,,,přírodopis,,ekologie,,,,,přírodověda,,,Odpady,,,,,,,,,,,,,,EVVO ve výuce,,,10 min,Uvnitř,Venku,1,1,mylenkov_mapa.pdf, ,"Metoda mi na toto téma přijde málo vhodná. Mám pocit, že se zde nevyužije potenciál metody. ",2019-06-03 20:45:14,public,,,188.175.9.239,1,1,https://petra2018.wufoo.com/cabinet/4df3046e-9f09-46de-9822-1a6e2e480b19
17,Odpady,Cesta výroby papíru,Monika Olšáková,I.N.S.E.R.T.,"Žák vyhledává a třídí informace v textu, označuje s pomocí značek.",Žák se s pomocí značek orientuje v textu a zapisuje podstatné informace k tématu.,Žák porovná informace ze dvou různých druhů textů.,"Žák analyzuje cyklus výroby výrobku z papíru a označí fáze, ve kterých vznikají odpady.Žák porovná cyklus výroby výrobku běžným způsobem a recyklací z hlediska množství použitých zdrojů a vzniklých odpadů.",,První stupeň ZŠ,Druhý stupeň ZŠ,,,,,,,5. třída ZŠ,6. třída ZŠ,7. třída ZŠ,8. třída ZŠ,9. třída ZŠ,,,,,přírodopis,,ekologie,,,,,přírodověda,,,Odpady,,,,,,,,,,,,,,EVVO ve výuce,,,30 min,Uvnitř,,1,1,i.n.s.e.r.t..pdf, ,"Schéma, které je u recyklace by šlo lépe vytěžit.",2019-06-04 20:18:22,public,,,188.175.9.239,1,1,https://petra2018.wufoo.com/cabinet/e58b737e-57c6-4db5-a8b5-c1729ca396da
18,Odpady,Jak na černé skládky,Monika Olšáková,Srovnávání fotografií,Student hledá společné a rozdílné znaky fotografií. ,Student vysuzuje dopad černých skládek na přírodu.,"Student zvažuje, jaké výhody mají černé skládky pro společnost.",Student si uvědomí rozdíl mezi nakládáníms odpady v rozvojových a rozvinutých zemích.Student určí dopady jednotlivých typů skládek na přírodu a společnost.,,,Druhý stupeň ZŠ,SŠ,,,,,,,,,,9. třída ZŠ,SŠ,,,biologie,přírodopis,,ekologie,,,,,,,zeměpis,Odpady,,,,,,,,,,,,,,EVVO ve výuce,,,10 min,Uvnitř,,1,1,srovnvn_fotogra2.pdf, ,V této aktivitě se mohl využít Vennův diagram ze 3 kruhů.,2019-06-04 21:10:37,public,,,188.175.9.239,1,1,https://petra2018.wufoo.com/cabinet/c12f2606-6cc1-4108-b6fe-4596eeb9cdb1
19,Odpady,Jak na černé skládky,Monika Olšáková,Seznámení se s projektem a s mobilní aplikací,Student se seznámí s projektem www.ZmapujTo.cz a s aplikací TrashOut. ,"Student vyhledá s pomocí interaktivní mapy skládky v okolí jeho bydliště, vytvoří si přehled nejčistších a nejšpinavějších míst v republice.",Student představí a prezentuje projekt ZmapujTo cílovým skupinám - veřejnost a zastupitelstvo.,Student se naučí pracovat s mobilní aplikací TrashOut sloužící k mapování černých skládek a sám sleduje a mapuje výskyt nových černých skládek.,,,Druhý stupeň ZŠ,SŠ,,,,,,,,,,9. třída ZŠ,SŠ,,,biologie,přírodopis,,ekologie,,,,,,,zeměpis,Odpady,,,,,,,,,,,Analýza,,Monitoring,EVVO ve výuce,,,10 min,Uvnitř,Venku,1,1,seznmen_se_s_projektem_a_mobiln_aplikac.pdf, ,Výborný projekt.,2019-06-05 05:31:53,public,,,188.175.9.239,1,1,https://petra2018.wufoo.com/cabinet/4700d26e-3a4b-4791-aa15-0736b842638f
20,Odpady,Jak na černé skládky,Monika Olšáková,Akční plán a realizace,Student prochází a vyhodnocuje jednotlivé nápady na akční plán k realizaci výstavy.,Student prezentuje své nápady a diskutuje s ostatními spolužáky o jejich komentářích. ,,Prezentace nápadů a vyhodnocení reálných představ k vytvoření výstavy o skládkách.,,,Druhý stupeň ZŠ,SŠ,,,,,,,,,,9. třída ZŠ,SŠ,,,biologie,přírodopis,,ekologie,,,,,,,zeměpis,Odpady,,,,,,,,,,,Analýza,,,EVVO ve výuce,Informování a spolupráce,,30 min,Uvnitř,,1,1,akn_pln_a_realizace.pdf, ,,2019-06-05 05:43:26,public,,,188.175.9.239,1,1,https://petra2018.wufoo.com/cabinet/2c19e493-c4cb-43c5-b1d8-9f0a1858c19e
